name,type,canswer,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,flanker_instruction.started,flanker_instruction.stopped,flanker_instruction_resp.keys,flanker_instruction_resp.rt,flanker_instruction_resp.started,flanker_instruction_resp.stopped,flanker_fix.started,flanker_fix.stopped,flanker_stimuli.started,flanker_stimuli.stopped,flanker_practice_resp.keys,flanker_practice_resp.corr,flanker_practice_resp.started,flanker_practice_resp.stopped,fb.started,fb.stopped,flanker_practice_resp.rt,admin,participant,session,date,frameRate,
,,,,,,,8.070899700047448,None,space,159.5570474998094,8.070899700047448,None,,,,,,,,,,,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
FFLFF,不一致,l,0,0,0,3,,,,,,,167.67156930011697,None,168.17216500011273,None,None,0,168.17216500011273,None,169.15636290004477,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLFLL,不一致,f,0,1,1,1,,,,,,,170.15739750000648,None,170.65798699995503,None,None,0,170.65798699995503,None,171.6589568001218,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
FFFFF,一致,f,0,2,2,2,,,,,,,172.67692929995246,None,173.16051660012454,None,None,0,173.16051660012454,None,174.16125539992936,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLLLL,一致,l,0,3,3,0,,,,,,,175.16637529991567,None,175.66688930010423,None,None,0,175.66688930010423,None,176.6676076001022,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLLLL,一致,l,1,0,4,0,,,,,,,177.66898460010998,None,178.16943440004252,None,None,0,178.16943440004252,None,179.1848238001112,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
FFLFF,不一致,l,1,1,5,3,,,,,,,180.169067800045,None,180.6696828000713,None,None,0,180.6696828000713,None,181.67057329998352,None,,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
FFFFF,一致,f,1,2,6,2,,,,,,,182.65487600001507,None,183.15560390008613,None,f,1,183.15560390008613,None,183.60608460009098,None,0.4192049999255687,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLFLL,不一致,f,1,3,7,1,,,,,,,184.60680780000985,None,185.10760580003262,None,f,1,185.10760580003262,None,185.57437869999558,None,0.4492424998898059,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLFLL,不一致,f,2,0,8,1,,,,,,,186.5754225999117,None,187.0760530999396,None,f,1,187.0760530999396,None,187.55967830005102,None,0.45570010016672313,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
LLLLL,一致,l,2,1,9,0,,,,,,,188.56074930005707,None,189.06136790011078,None,l,1,189.06136790011078,None,189.44500200008042,None,0.3537403999362141,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
FFFFF,一致,f,2,2,10,2,,,,,,,190.44593039993197,None,190.95952160004526,None,f,1,190.95952160004526,None,191.56375099997967,None,0.5793552999384701,admin,participant,session,2022-10-29_21h36.33.300,60.595704242302425,
